roc_threshold,horizon_days,trades,years,mean_return,hit_rate,median_return,t_stat
-0.3,1,4,3,0.008167207771405671,1.0,0.007183300263547299,2.2089046589597325
-0.3,3,4,3,0.014801490794911665,0.75,0.01645286260921619,1.4201092336680528
-0.3,5,4,3,0.032027803731392634,1.0,0.0308134174689928,5.078155724634709
-0.3,10,4,3,0.03205260955846301,1.0,0.03799114485311228,3.9693926665613013
-0.3,20,4,3,0.049542394641099885,1.0,0.06041619539123322,3.3988148206155233
-0.3,40,4,3,0.0730497879235808,1.0,0.07236423321952579,3.547748501614296
-0.25,1,6,5,0.008454134985141951,1.0,0.00796246115292032,3.4321963895103185
-0.25,3,6,5,0.014888344307989762,0.8333333333333334,0.015062051334145954,2.2468578703333986
-0.25,5,6,5,0.03278026791568064,1.0,0.0308134174689928,4.014212275752841
-0.25,10,6,5,0.02316224676389898,0.8333333333333334,0.035193026187501975,2.1618263369206856
-0.25,20,6,5,0.04741990229523444,1.0,0.06041619539123322,3.903548647975482
-0.25,40,6,5,0.05170436784864304,0.8333333333333334,0.04083316693901007,2.6855971335798747
-0.2,1,9,5,0.00654780540344065,0.8888888888888888,0.008870490833826183,1.9636930335506826
-0.2,3,9,5,0.011964845716565333,0.8888888888888888,0.010638297872340274,2.6197185098072313
-0.2,5,9,5,0.02402554667580729,0.8888888888888888,0.02127659574468077,3.3070697090038466
-0.2,10,9,5,0.016858153906161286,0.6666666666666666,0.03464673913043481,1.8353452960005545
-0.2,20,9,5,0.038836131870846495,0.8888888888888888,0.03936170212765955,4.030644979840781
-0.2,40,9,5,0.04164961493422978,0.8888888888888888,0.026237328562910056,3.0911335014389505
-0.15,1,15,10,0.003106091186034421,0.7333333333333333,0.007549759780370646,0.8757838797166348
-0.15,3,15,10,0.005407350410278592,0.7333333333333333,0.004174120453190433,1.0336111456482235
-0.15,5,15,10,0.0136967188554923,0.8666666666666667,0.011214953271027728,2.0577505378993264
-0.15,10,15,10,0.004499522229577191,0.5333333333333333,0.008348240906380422,0.5006816519849464
-0.15,20,15,10,0.017810668966110055,0.6,0.012980269989615767,1.528132312712962
-0.15,40,15,10,0.016926335731175413,0.7333333333333333,0.024922118380062308,1.1556945742899993
-0.1,1,23,13,0.003390573078717992,0.6956521739130435,0.007549759780370646,1.2931741983941207
-0.1,3,23,13,0.005485643114733217,0.6521739130434783,0.004139562389118945,1.298877383595757
-0.1,5,23,13,0.01416086429214755,0.8260869565217391,0.011214953271027728,2.784991803641328
-0.1,10,23,13,0.010372117438830365,0.6086956521739131,0.020077720207253735,1.4873104544011777
-0.1,20,23,13,0.023298070062567792,0.6086956521739131,0.012980269989615767,2.240259996156004
-0.1,40,23,13,0.017300814716828403,0.6086956521739131,0.018443760510719054,1.2623160524071395
-0.05,1,26,13,0.0015453865184766836,0.6153846153846154,0.006188589225742058,0.605643094992505
-0.05,3,26,13,0.005063653873678089,0.6538461538461539,0.00385762386440458,1.3415254897063544
-0.05,5,26,13,0.014982238954592993,0.8076923076923077,0.01191311461770972,3.188352424109514
-0.05,10,26,13,0.012745168300018019,0.6153846153846154,0.017541861304107287,1.8251307831711603
-0.05,20,26,13,0.024891790096414942,0.5769230769230769,0.010199333807864197,2.412164606493991
-0.05,40,26,13,0.025275047038636565,0.6538461538461539,0.02536866788568337,1.8874725580630785
