year,trades,mean_return,median_return,hit_rate,t_stat,profit_factor,signal_dates
2013,2,-0.021591906681294293,-0.021591906681294293,0.5,-0.7406841290788089,0.14897353666252142,"2013-09-01, 2013-09-08"
2014,1,0.0014492753623189802,0.0014492753623189802,1.0,,inf,2014-09-07
2015,2,0.0404310089497274,0.0404310089497274,1.0,1.8902142745425166,inf,"2015-09-06, 2015-09-20"
2016,2,0.03969410498000048,0.03969410498000048,1.0,4.45941686367219,inf,"2016-09-04, 2016-09-25"
2017,1,0.0007087172218285254,0.0007087172218285254,1.0,,inf,2017-09-17
2018,1,0.007549759780370646,0.007549759780370646,1.0,,inf,2018-09-02
2019,3,0.02388177412587796,0.030619345859429492,1.0,2.0595791853290017,inf,"2019-09-08, 2019-09-22, 2019-09-29"
2020,2,0.04086400129551038,0.04086400129551038,1.0,4.074143481812586,inf,"2020-09-06, 2020-09-27"
2021,1,-0.011455847255369855,-0.011455847255369855,0.0,,0.0,2021-09-05
2022,2,0.0008030701171922172,0.0008030701171922172,0.5,0.06800949505658206,1.145944609297733,"2022-09-18, 2022-09-25"
2023,2,0.01401316806964048,0.01401316806964048,1.0,1.9292775665399258,inf,"2023-09-03, 2023-09-17"
2024,1,0.011214953271027728,0.011214953271027728,1.0,,inf,2024-09-01
2025,3,0.005386934833343478,0.005959475566150285,0.6666666666666666,0.7290531013193182,3.1021477238116666,"2025-09-07, 2025-09-21, 2025-09-28"
