n,mean,median,hit_rate,t_stat,profit_factor,wins,losses,binom_p,compounded,month,roc_threshold,years
10,-0.014829573408091434,-0.024908307625377046,0.3,-0.8675441072945176,0.4822502017132205,3,7,0.34375,-0.15048896457049432,6,-0.3,7
10,-0.014829573408091434,-0.024908307625377046,0.3,-0.8675441072945176,0.4822502017132205,3,7,0.34375,-0.15048896457049432,6,-0.25,7
11,-0.005422903930112819,-0.02033132530120485,0.36363636363636365,-0.29963317685165125,0.7917351988120046,4,7,0.548828125,-0.07518508602139162,6,-0.2,7
15,0.0024876566679818673,-0.016469038208168696,0.4,0.16050465437584788,1.1082712524640663,6,9,0.60723876953125,0.012061999997922568,6,-0.15,10
19,0.007036694041009291,-0.0023786869647955955,0.47368421052631576,0.512874892163322,1.3543595193352882,9,10,1.0,0.10678403676881576,6,-0.1,10
22,0.002836782739860963,0.001319780605193388,0.5,0.2179447685616888,1.1281942752894267,11,11,1.0,0.023410350876854613,6,-0.05,11
8,0.022073246243419664,0.016488047948722162,0.625,1.3593872776718015,3.7224398250998387,5,3,0.7265625,0.18253034711361016,7,-0.3,5
10,0.018578105163896207,0.012077560825822453,0.6,1.4008658186944318,3.4056873310739184,6,4,0.75390625,0.19308865378426732,7,-0.25,5
12,0.015389807444320003,0.007834649011119743,0.5833333333333334,1.3637518064284893,3.020520972413725,7,5,0.7744140625,0.19155116840567965,7,-0.2,5
16,0.01446594057069963,0.007834649011119743,0.5625,1.5513325151510302,2.8030656842596002,9,7,0.803619384765625,0.24582551967651622,7,-0.15,9
18,0.011306925140090716,-0.0024550524550523423,0.5,1.324023913443835,2.3021585457694216,9,9,1.0,0.2112655950255693,7,-0.1,10
19,0.009210787387012156,-0.007507507507507394,0.47368421052631576,1.1036969497137719,1.9469063722871618,9,10,1.0,0.17672067312126383,7,-0.05,10
8,-0.0035021869119115367,0.00048302989781867645,0.5,-0.4661044976377868,0.5499640163199493,4,4,1.0,-0.02925605694832578,8,-0.3,6
8,-0.0035021869119115367,0.00048302989781867645,0.5,-0.4661044976377868,0.5499640163199493,4,4,1.0,-0.02925605694832578,8,-0.25,6
8,-0.0035021869119115367,0.00048302989781867645,0.5,-0.4661044976377868,0.5499640163199493,4,4,1.0,-0.02925605694832578,8,-0.2,6
11,-0.006163055100248242,-0.00040192926045024,0.45454545454545453,-1.0101158010696734,0.3396145030976029,5,6,1.0,-0.06770862253863619,8,-0.15,7
14,-0.01030293559828656,-0.002049393465714866,0.42857142857142855,-1.5333798224864645,0.2756413321701649,6,8,0.79052734375,-0.13863284411938737,8,-0.1,9
26,-0.004698889934699537,-0.002049393465714866,0.46153846153846156,-0.8296237582586323,0.6529130243739749,12,14,0.8450189828872681,-0.12451870295684275,8,-0.05,12
4,0.032027803731392634,0.0308134174689928,1.0,5.078155724634709,inf,4,0,0.125,0.13414475240461976,9,-0.3,3
6,0.03278026791568064,0.0308134174689928,1.0,4.014212275752841,inf,6,0,0.03125,0.21238675169037236,9,-0.25,5
9,0.02402554667580729,0.02127659574468077,0.8888888888888888,3.3070697090038466,29.126522681470295,8,1,0.0390625,0.23598555769544305,9,-0.2,5
15,0.0136967188554923,0.011214953271027728,0.8666666666666667,2.0577505378993264,4.516128385473081,13,2,0.00738525390625,0.22077478151640184,9,-0.15,10
23,0.01416086429214755,0.011214953271027728,0.8260869565217391,2.784991803641328,5.02635710271548,19,4,0.002599477767944336,0.37302785310033926,9,-0.1,13
26,0.014982238954592993,0.01191311461770972,0.8076923076923077,3.188352424109514,5.815537408645545,21,4,0.002493917942047119,0.4617649700066837,9,-0.05,13
4,0.006909382449193285,0.010727735728365495,0.75,0.7393164907299314,2.504119410093617,3,1,0.625,0.0273907047261972,10,-0.3,4
4,0.006909382449193285,0.010727735728365495,0.75,0.7393164907299314,2.504119410093617,3,1,0.625,0.0273907047261972,10,-0.25,4
7,-0.002835966228933768,0.004627249357326502,0.5714285714285714,-0.31963680506969855,0.7183791527743075,4,3,1.0,-0.02133023203371176,10,-0.2,6
9,0.0006083584035776221,0.004627249357326502,0.5555555555555556,0.07668779100244609,1.0697869079578317,5,4,1.0,0.003197002307498087,10,-0.15,6
12,-0.001408630040505232,-0.001071615673401749,0.5,-0.22732931551596766,0.8455747685653368,6,6,1.0,-0.01927977881893328,10,-0.1,7
14,-0.0006856185490527229,-0.001071615673401749,0.5,-0.12217897844506405,0.9222161164367125,7,7,1.0,-0.012406176985499062,10,-0.05,8
