n,mean,median,hit_rate,t_stat,profit_factor,wins,losses,binom_p,compounded,year,dates
2,-0.021591906681294293,-0.021591906681294293,0.5,-0.7406841290788089,0.14897353666252142,1,1,1.0,-0.04356740133264991,2013,"2013-09-01, 2013-09-08"
1,0.0014492753623189802,0.0014492753623189802,1.0,,inf,1,0,1.0,0.0014492753623189802,2014,2014-09-07
2,0.0404310089497274,0.0404310089497274,1.0,1.8902142745425166,inf,2,0,0.5,0.08203916754688989,2015,"2015-09-06, 2015-09-20"
2,0.03969410498000048,0.03969410498000048,1.0,4.45941686367219,inf,2,0,0.5,0.08088460079390569,2016,"2016-09-04, 2016-09-25"
1,0.0007087172218285254,0.0007087172218285254,1.0,,inf,1,0,1.0,0.0007087172218285254,2017,2017-09-17
1,0.007549759780370646,0.007549759780370646,1.0,,inf,1,0,1.0,0.007549759780370646,2018,2018-09-02
3,0.02388177412587796,0.030619345859429492,1.0,2.0595791853290017,inf,3,0,0.25,0.07295455131224093,2019,"2019-09-08, 2019-09-22, 2019-09-29"
2,0.04086400129551038,0.04086400129551038,1.0,4.074143481812586,inf,2,0,0.5,0.08329726660812464,2020,"2020-09-06, 2020-09-27"
1,-0.011455847255369855,-0.011455847255369855,0.0,,0.0,0,1,1.0,-0.011455847255369855,2021,2021-09-05
2,0.0008030701171922172,0.0008030701171922172,0.5,0.06800949505658206,1.145944609297733,1,1,1.0,0.0014673514306677848,2022,"2022-09-18, 2022-09-25"
2,0.01401316806964048,0.01401316806964048,1.0,1.9292775665399258,inf,2,0,0.5,0.028169947637038506,2023,"2023-09-03, 2023-09-17"
1,0.011214953271027728,0.011214953271027728,1.0,,inf,1,0,1.0,0.011214953271027728,2024,2024-09-01
3,0.005386934833343478,0.005959475566150285,0.6666666666666666,0.7290531013193182,3.1021477238116666,2,1,1.0,0.016083252492147926,2025,"2025-09-07, 2025-09-21, 2025-09-28"
